abazinok                      abazin
kódolású                      kódolású
kódoló                        kódoló
kódorogsz                     kódorogsz
kódrészletek                  kódrészlet
kódrészletekrõl               kódrészlet
kódsorozatot                  kódsorozat
kódszerkesztõ                 kódszerkesztõ
kógencia                      kógenc
kógens                        kógens
kógensek                      kógens
kókai                         kó
kókuszdió-termelés            kókuszdió-termelés
kókuszszõnyegre               kókuszszõnyeg
kólintsa                      kólints
kólára                        kól
kóla                          kól
kólát                         kól
kólával                       kól
kólás                         kólás
kóma                          kóm
kómában                       kóm
kópickötés                    kópickötés
kópickötéssel                 kópickötés
kópiák                        kópia
kópiákból                     kópia
kórház                        kórház
kórháza                       kórház
kórházaiknak                  kórház
kórházak                      kórház
kórházakat                    kórház
kórházaknak                   kórház
kórházakon                    kórház
kórházat                      kórház
kórházba                      kórház
kórházban                     kórház
kórházból                     kórház
kórházhoz                     kórház
kórházukban                   kórház
kórházzal                     kórház
kórházfilm-paródia            kórházfilm-paród
kórházi                       kórház
kórképét                      kórkép
kórlapra                      kórlap
kórokban                      kór
kór                           kór
kórral                        kór
kórokozó                      kórokozó
kórokozói                     kórokozó
kórokozóját                   kórokozó
kórokozók                     kórokozó
kórokozót                     kórokozó
kóros                         kóros
kórosan                       kóros
kórtörténeteket               kórtörténet
kórus                         kórus
kórusban                      kórus
kóruson                       kórus
kórusversenyre                kórusverseny
kóstolgatta                   kóstolgatt
kóstolják                     kóstolja
kóstolni                      kóstoln
kóstál                        kóstál
kóstáló                       kóstáló
kósza                         kósz
kószál                        kószál
kószált                       kószál
kószálunk                     kószál
kóteres                       kóteres
kóvályogni                    kóvályogn
kóvályogtunk                  kóvályogt
kõ                            kõ
kõbe                          kõ
kõbõl                         kõ
kõvel                         kõ
kõvé                          kõ
kõért                         kõ
kövek                         köv
köveket                       köv
kövét                         köv
kövén                         köv
kövön                         köv
kõbevájt                      kõbeváj
kõbányai                      kõbány
kõdarab                       kõdarab
kõdarabok                     kõdarab
kõdarabra                     kõdarab
kõfal                         kõfal
kõfalon                       kõfal
kõfejtõ                       kõfejtõ
kõfejtõhöz                    kõfejtõ
kõhalmazokon                  kõhalmaz
kõkockák                      kõkocka
kõkoloncok                    kõkolonc
kõkorsókat                    kõkorsó
kõkorsókban                   kõkorsó
kõlap                         kõlap
kõmûves                       kõmûves
kõmûvesmunkákat               kõmûvesmunka
kõnyomás                      kõnyomás
kõolaj                        kõolaj
kõolajat                      kõolaj
kõolajra                      kõolaj
kõolajimportot                kõolajimport
kõolajtermékekre              kõolajtermék
kõpadló                       kõpadló
kõpadlójára                   kõpadló
kõpadlón                      kõpadló
kõpadlós                      kõpadlós
kõrestaurálási                kõrestaurálás
kõrisfák                      kõrisfa
kõrisfát                      kõrisf
kõszívû                       kõszívû
kõtáblákba                    kõtábla
kõtáblát                      kõtábl
kõtár                         kõtár
kõvédermedten                 kõvédermedt
kõzetek                       kõzet
kõépület                      kõépül
kõút                          kõú
köbcentiméteren               köbcentiméter
köbméter                      köbméter
köbméterre                    köbméter
köcsögökkel                   köcsög
ködbe                         köd
ködben                        köd
ködbõl                        köd
köde                          köd
ködnek                        köd
ködök                         köd
ködön                         köd
ködöt                         köd
ködszerû                      ködszerû
ködös                         ködös
ködösítés                     ködösítés
köhintett                     köhintet
köhög                         köhög
köhögjön                      köhögj
köhögni                       köhögn
köhögtek                      köhögt
köhögtem                      köhögt
köhögve                       köhögv
köhögési                      köhögés
köhögésre                     köhögés
köhögés                       köhögés
köhögést                      köhögés
köhögésroham                  köhögésroh
köhögésrohamot                köhögésroh
kölcsönadta                   kölcsönadt
kölcsönadtad                  kölcsönadt
kölcsönadtak                  kölcsönadt
kölcsönadás                   kölcsönadás
kölcsönadásban                kölcsönadás
kölcsönhatás                  kölcsönhatás
kölcsönkérni                  kölcsönkérn
kölcsönkérnie                 kölcsönkérn
kölcsönkértem                 kölcsönkért
kölcsönbe                     kölcsön
kölcsön                       kölcs
kölcsönnél                    kölcsön
kölcsönrõl                    kölcsön
kölcsönt                      kölcsön
kölcsönök                     kölcsön
kölcsönöket                   kölcsön
kölcsönünk                    kölcsön
kölcsönzés                    kölcsönzés
kölcsönzése                   kölcsönzés
kölcsönzéshez                 kölcsönzés
kölcsönzésnél                 kölcsönzés
kölcsönzõben                  kölcsönzõ
kölcsönös                     kölcsönös
kölcsönösen                   kölcsönös
kölcsönössége                 kölcsönösség
kölcsönzött                   kölcsönzöt
kölcsönöz                     kölcsönöz
kölcsönöznek                  kölcsönöz
kölcsönöztem                  kölcsönözt
kölcsönözzünk                 kölcsönözz
köldöknézés                   köldöknézés
köldökzsinór                  köldökzsinór
köll                          köll
kölnis                        kölnis
kölnit                        köln
kölni                         köln
kölnivizes                    kölnivizes
kölnivíz                      kölnivíz
költekezik                    költekez
költekeznie                   költekezn
költekezés                    költekezés
költeményeinek                költemény
költeményeit                  költemény
költemények                   költemény
költeményektõl                költemény
költenek                      költ
költ                          köl
költeni                       költen
költenie                      költen
költeném                      költene
költi                         költ
költik                        költ
költsem                       költs
költheti                      költhet
költhetnek                    költhet
költsük                       költs
költségcsökkentés             költségcsökkentés
költség                       költség
költségben                    költség
költségbõl                    költség
költsége                      költség
költségei                     költség
költségeibe                   költség
költségeibõl                  költség
költségeik                    költség
költségeinek                  költség
költségeinket                 költség
költségeire                   költség
költségeit                    költség
költségeivel                  költség
költségek                     költség
költségekbe                   költség
költségekbõl                  költség
költségeket                   költség
költségekkel                  költség
költségeknek                  költség
költségekrõl                  költség
költségektõl                  költség
költségen                     költség
költséget                     költség
költséggel                    költség
költséghez                    költség
költségként                   költség
költségre                     költség
költségén                     költség
költségének                   költség
költségére                    költség
költségét                     költség
költséges                     költséges
költségesebb                  költségesebb
költségessé                   költséges
költséghatékonnyá             költséghatékony
költséghatékony               költséghatékony
költséghatékonyabb            költséghatékonyabb
költséghatékonysági           költséghatékonyság
költséghatékonyságot          költséghatékonyság
költséghatékonyság            költséghatékonyság
költségigénye                 költségigény
költségkereten                költségkeret
költségkímélési               költségkímélés
költségkímélõ                 költségkímélõ
költségmegtakarítás           költségmegtakarítás
költségmentesen               költségmentes
költségnövekedést             költségnövekedés
költségstruktúrákhoz          költségstruktúra
költségszegmensben            költségszegmens
költségszintû                 költségszintû
költségszámítás               költségszámítás
költségtanulmányok            költségtanulmány
költségtáblák                 költségtábla
költségtérítés                költségtérítés
költségtérítést               költségtérítés
költségvetés-készítés         költségvetés-készítés
költségvetési                 költségvetés
költségvetésbe                költségvetés
költségvetés                  költségvetés
költségvetésben               költségvetés
költségvetésbõl               költségvetés
költségvetése                 költségvetés
költségvetésekbõl             költségvetés
költségvetésen                költségvetés
költségvetésként              költségvetés
költségvetésre                költségvetés
költségvetésrõl               költségvetés
költségvetést                 költségvetés
költségvetéstõl               költségvetés
költségvetésébe               költségvetés
költségvetésében              költségvetés
költségvetésébõl              költségvetés
költségvetésének              költségvetés
költségvetését                költségvetés
költségvetésével              költségvetés
költségvetésük                költségvetés
költségvetésükbõl             költségvetés
költségvetésüket              költségvetés
költségvetésünk               költségvetés
költségvetésû                 költségvetésû
költségviselés                költségviselés
költségvonzata                költségvonzat
költségátalánynak             költségátalány
költségátalányt               költségátalány
költségû                      költségû
költészet                     költész
költészetbe                   költészet
költészete                    költészet
költészetnek                  költészet
költészettel                  költész
költészetérõl                 költészet
költészetét                   költészet
költésén                      költés
költése                       költés
költõi                        költõ
költõ                         költõ
költõinek                     költõ
költõk                        költõ
költõnek                      költõ
költõnek                      költõ
költõt                        költõ
költõvel                      költõ
költõiséget                   költõiség
költök                        költ
költöm                        költö
költötte                      költött
költöttek                     költött
költöttem                     költött
költöttük                     költött
költött                       költöt
költözködni                   költözködn
költözködés                   költözködés
költözni                      költözn
költöznie                     költözn
költöztem                     költözt
költöztünk                    költözt
költözzek                     költözz
költözöm                      költözö
költöztették                  költöztette
költöztetéstõl                költöztetés
költözés                      költözés
költözött                     költözöt
költünk                       költ
kölykei                       köly
kölykeit                      köly
kölykét                       köly
kölykök                       kölyk
kölyköket                     kölyk
kölyköm                       kölykö
kölyköt                       köly
kölyök                        köly
kölyökkel                     köly
kölyöknek                     köly
kölyöktõl                     köly
könnnyebbségeivel             könnnyebbség
könnycsepp                    könnycsepp
könnycseppet                  könnycsepp
könnyebb                      könnyebb
könnyebben                    könnyeb
könnyebbik                    könnyebb
könnyebbé                     könnyeb
könnyen                       könny
könnyû                        könnyû
könnyûnek                     könnyû
könnyebbség                   könnyebbség
könnyed                       könny
könnyednek                    könny
könnyedén                     könnyed
könnyedséggel                 könnyedség
könnyedségre                  könnyedség
könnyei                       könny
könnyeinkkel                  könny
könnyeit                      könny
könnyek                       könny
könnyekben                    könny
könnyeket                     könny
könnyekkel                    könny
könnyeknek                    könny
könnyel                       köny
könny                         könny
könnybe                       könny
könnynek                      könny
könnyükben                    könny
könnyelmû                     könnyelmû
könnyelmûen                   könnyelmû
könnyelmûnek                  könnyelmû
könnyelmûség                  könnyelmûség
könnyelmûséget                könnyelmûség
könnyelmûségét                könnyelmûség
könnyes                       könnyes
könnyezni                     könnyezn
könnyezve                     könnyezv
könnyít                       könnyí
könnyíteni                    könnyíten
könnyítené                    könnyíten
könnyítették                  könnyítette
könnyíti                      könnyít
könnyítik                     könnyít
könnyítse                     könnyíts
könnyítéseket                 könnyítés
könnyítõ                      könnyítõ
könnyûfém                     könnyûfe
könnyûszerrel                 könnyûszer
könnyûzenei                   könnyûzen
köntinget                     könting
köntös                        köntös
köntöst                       köntös
köntösömnek                   köntösö
könyben                       köny
könyvcsomagot                 könyvcsomag
könyvecskéje                  könyvecské
könyveibe                     könyv
könyv                         könyv
könyvbe                       könyv
könyvben                      könyv
könyvbõl                      könyv
könyve                        könyv
könyveinek                    könyv
könyveit                      könyv
könyvek                       könyv
könyvekben                    könyv
könyvekbõl                    könyv
könyveken                     könyv
könyvem                       könyv
könyvemben                    könyv
könyvemhez                    könyv
könyvet                       könyv
könyvhöz                      könyv
könyvként                     könyv
könyvnek                      könyv
könyvre                       könyv
könyvrõl                      könyv
könyvtõl                      könyv
könyvébe                      könyv
könyvében                     könyv
könyvébõl                     könyv
könyvének                     könyv
könyvére                      könyv
könyvérõl                     könyv
könyvét                       könyv
könyvével                     könyv
könyvünk                      könyv
könyvünkben                   könyv
könyvvel                      könyv
könyvekereskedõ               könyvekereskedõ
könyveket                     könyv
könyvekkel                    könyv
könyvekrõl                    könyv
könyvel                       köny
könyvelheti                   könyvelhet
könyvelhettek                 könyvelhett
könyvelhetett                 könyvelhetet
könyvelhettem                 könyvelhett
könyveli                      könyvel
könyvelte                     könyvelt
könyvelés                     könyvelés
könyvelése                    könyvelés
könyvelést                    könyvelés
könyvelési                    könyvelés
könyvelõ                      könyvelõ
könyvelõjét                   könyvelõ
könyvelõként                  könyvelõ
könyvelõszoftver              könyvelõszoftver
könyvesbolt                   könyvesbol
könyvesboltból                könyvesbolt
könyvesboltokba               könyvesbolt
könyvespolcok                 könyvespolc
könyvfesztiválra              könyvfesztivál
könyvhalmaz                   könyvhalmaz
könyvismertetésnek            könyvismertetés
könyvismertetõiben            könyvismertetõ
könyvjelzõre                  könyvjelzõ
könyvkereskedelem             könyvkereskedel
könyvkereskedõ                könyvkereskedõ
könyvkiadás                   könyvkiadás
könyvkiadásban                könyvkiadás
könyvkiadással                könyvkiadás
könyvkiadói                   könyvkiadó
könyvkiadók                   könyvkiadó
könyvkritikákat               könyvkritika
könyvoldal                    könyvoldal
könyvpiacon                   könyvpiac
könyvritkaság                 könyvritkaság
könyvrészlegét                könyvrészleg
könyvsorozat                  könyvsoroz
könyvszakértõi                könyvszakértõ
könyvszakértõk                könyvszakértõ
könyvszekrény                 könyvszekrény
könyvszekrényre               könyvszekrény
könyvtár-automatizálási       könyvtár-automatizálás
könyvtárablakokban            könyvtárablak
könyvtáraiból                 könyvtár
könyvtára                     könyvt
könyvtár                      könyvtár
könyvtáraihoz                 könyvtár
könyvtárait                   könyvtár
könyvtárak                    könyvtár
könyvtárakat                  könyvtár
könyvtárakba                  könyvtár
könyvtárakban                 könyvtár
könyvtárakhoz                 könyvtár
könyvtárakkal                 könyvtár
könyvtárakról                 könyvtár
könyvtáraktól                 könyvtár
könyvtárat                    könyvtár
könyvtárba                    könyvtár
könyvtárban                   könyvtár
könyvtárból                   könyvtár
könyvtárhoz                   könyvtár
könyvtárnak                   könyvtár
könyvtárnak                   könyvtár
könyvtárt                     könyvtár
könyvtárnál                   könyvtár
könyvtárában                  könyvtár
könyvtárából                  könyvtár
könyvtárához                  könyvtár
könyvtárának                  könyvtár
könyvtárát                    könyvtár
könyvtárbejegyzése            könyvtárbejegyzés
könyvtárbejegyzések           könyvtárbejegyzés
könyvtárbejegyzést            könyvtárbejegyzés
könyvtárbejegyzésében         könyvtárbejegyzés
könyvtárfa                    könyvtárf
könyvtárfáival                könyvtárfa
könyvtárfája                  könyvtárfá
könyvtárfán                   könyvtárf
könyvtári                     könyvtár
könyvtárközi                  könyvtárköz
könyvtármegosztás             könyvtármegosztás
könyvtármegosztásban          könyvtármegosztás
könyvtármegosztáshoz          könyvtármegosztás
könyvtármegosztások           könyvtármegosztás
könyvtármegosztásokat         könyvtármegosztás
könyvtármegosztásokhoz        könyvtármegosztás
könyvtármegosztáson           könyvtármegosztás
könyvtármegosztást            könyvtármegosztás
könyvtárnevet                 könyvtárnev
könyvtárnév                   könyvtárnév
könyvtáron                    könyvtár
könyvtárra                    könyvtár
könyvtárral                   könyvtár
könyvtárrá                    könyvtár
könyvtárról                   könyvtár
könyvtárstruktúra             könyvtárstruktú
könyvtárstruktúrában          könyvtárstruktúr
könyvtárstruktúrához          könyvtárstruktúr
könyvtárstruktúrának          könyvtárstruktúr
könyvtárstruktúrát            könyvtárstruktúr
könyvtárszerkezet             könyvtárszerkez
könyvtárszerkezete            könyvtárszerkezet
könyvtárszerkezetnek          könyvtárszerkezet
könyvtárszobába               könyvtárszob
könyvtárváltás                könyvtárváltás
könyvutalványon               könyvutalvány
könyvvezetési                 könyvvezetés
könyvviteli                   könyvvitel
könyvvitellel                 könyvvitel
könyvvitelhez                 könyvvitel
könyvvizsgálat                könyvvizsgál
könyvvizsgálatot              könyvvizsgálat
könyvvizsgálatért             könyvvizsgálat
könyvvizsgálói                könyvvizsgáló
könyvvizsgálója               könyvvizsgáló
könyvvizsgáló                 könyvvizsgáló
könyvvizsgálójának            könyvvizsgáló
könyvvizsgálójává             könyvvizsgáló
könyvvizsgálók                könyvvizsgáló
könyvvizsgálókat              könyvvizsgáló
könyvvizsgálókkal             könyvvizsgáló
könyvvizsgálókra              könyvvizsgáló
könyvvizsgálónak              könyvvizsgáló
könyvvizsgálóra               könyvvizsgáló
könyvvizsgálót                könyvvizsgáló
könyvvizsgálóval              könyvvizsgáló
könyvvásárlási                könyvvásárlás
könyvvásáron                  könyvvásár
könyvvásár                    könyvvásár
könyékig                      könye
könyökcsõ                     könyökcsõ
könyökcsövén                  könyökcsöv
könyökcsövét                  könyökcsöv
könyökhajlatába               könyökhajlat
könyöklõ                      könyöklõ
könyöke                       köny
könyökbõl                     köny
könyökig                      köny
könyökéig                     köny
könyökén                      köny
könyökére                     köny
könyökét                      köny
könyökölve                    könyökölv
könyörgés                     könyörgés
könyörgések                   könyörgés
könyörgéssel                  könyörgés
könyörgõ                      könyörgõ
könyörgöm                     könyörgö
könyörgött                    könyörgöt
könyörögnek                   könyörög
könyörögni                    könyörögn
könyörögtek                   könyörögt
könyörögtél                   könyörögtél
könyörtelen                   könyörtel
könyörtelenebb                könyörtelenebb
könyörtelenek                 könyörtel
könyörtelenül                 könyörtelen
köpcös                        köpcös
köpenyanyag-feláramlások      köpenyanyag-feláramlás
köpenyben                     köpeny
köpeny                        köpeny
köpenye                       köpeny
köpenyekben                   köpeny
köpenyembõl                   köpeny
köpenyen                      köpeny
köpenyt                       köpeny
köpenyéhez                    köpeny
köpenyes                      köpenyes
köpenygallért                 köpenygall
köpenyszerûség                köpenyszerûség
köpök                         köp
köpönyegébõl                  köpönyeg
köpött                        köpöt
köpülésével                   köpülés
körbe-körbe                   körbe-kör
kör                           kör
körbe                         kör
körre                         kör
körrel                        kör
körrõl                        kör
körtõl                        kör
kört                          kör
körben                        kör
körbõl                        kör
köre                          kö
köreihez                      kör
köreimben                     kör
köreinek                      kör
körébe                        kör
körében                       kör
körébõl                       kör
köréhez                       kör
körére                        kör
körével                       kör
köröd                         kör
körödnek                      kör
körök                         kör
körökben                      kör
körökbõl                      kör
köröket                       kör
körökig                       kör
körökkel                      kör
körömet                       körö
körökre                       kör
körén                         kör
körének                       kör
körön                         kör
körönként                     körön
körük                         kör
körbejárjuk                   körbejár
körbejárni                    körbejárn
körbejártam                   körbejárt
körbejártunk                  körbejárt
körbejárt                     körbejár
körbekérdezgettük             körbekérdezgett
körbementünk                  körbement
körbemotoroztuk               körbemotorozt
körbenyargalt                 körbenyargal
körbenézek                    körbenéz
körbenéztek                   körbenézt
körbenéztünk                  körbenézt
körbenézünk                   körbenéz
körbenézésére                 körbenézés
körberepüli                   körberepül
körbeszimatolt                körbeszimatol
körbesétált                   körbesétál
körbesétáltam                 körbesétált
körbesétáltuk                 körbesétált
körbeutazni                   körbeutazn
körbeutazza                   körbeutazz
körbevették                   körbevette
körbevezet                    körbevez
körbevezetett                 körbevezetet
körbeírás                     körbeírás
körbeírást                    körbeírás
körbeírását                   körbeírás
körbeültünk                   körbeült
köretek                       köret
körettel                      kör
köretével                     köret
körfaxon                      körfax
körforgalom                   körforgal
körforgásának                 körforgás
körgyûrût                     körgyûrû
körhinta                      körhint
körhintához                   körhint
körhintán                     körhint
körhintára                    körhint
körhintások                   körhintás
körkép                        körkép
körképet                      körkép
körképhez                     körkép
körkérdésére                  körkérdés
körmenet                      körmen
körmenetben                   körmenet
körmenettel                   körmen
körmét                        körm
körmei                        körm
körmöd                        körm
körmöket                      körm
körmömet                      körmö
körmöt                        kör
körmük                        körm
körmönfontan                  körmönfont
körmösfont                    körmösfon
környezet                     környez
környezetbe                   környezet
környezetben                  környezet
környezetbõl                  környezet
környezete                    környezet
környezetek                   környezet
környezetekbe                 környezet
környezetekben                környezet
környezetekkel                környezet
környezetem                   környezet
környezetemben                környezet
környezetembõl                környezet
környezetemet                 környezet
környezetemnek                környezet
környezetnek                  környezet
környezetnél                  környezet
környezetrekörnyezeten        környezetrekörnyezet
környezetet                   környezet
környezettel                  környez
környezetrõl                  környezet
környezethez                  környezet
környezetébe                  környezet
környezetében                 környezet
környezetébõl                 környezet
környezetéhez                 környezet
környezetének                 környezet
környezetére                  környezet
környezetérõl                 környezet
környezetét                   környezet
környezetétõl                 környezet
környezetével                 környezet
környezetük                   környezet
környezetükbõl                környezet
környezetüket                 környezet
környezetükhöz                környezet
környezetükkel                környezet
környezetüknél                környezet
környezetünkrõl               környezet
környezetembeli               környezetembel
környezeti                    környezet
környezetikár-elhárításra     környezetikár-elhárítás
környezetikár-mentesítési     környezetikár-mentesítés
környezetkárosítást           környezetkárosítás
környezetkárosító             környezetkárosító
környezetkímélõ               környezetkímélõ
környezetrehabilitációs       környezetrehabilitációs
környezetrészt                környezetrész
környezetszennyezés           környezetszennyezés
környezetszennyezésrõl        környezetszennyezés
környezetszennyezésért        környezetszennyezés
környezetszennyezõ            környezetszennyezõ
környezetszennyezõdés         környezetszennyezõdés
környezettisztelõ             környezettisztelõ
környezetvédelem              környezetvédel
környezetvédelemmel           környezetvédel
környezetvédelmi              környezetvédelm
környezetvédõ                 környezetvédõ
környezetátalakító            környezetátalakító
környezetû                    környezetû
környezése                    környezés
környezõ                      környezõ
környékbeli                   környékbel
környékbelinek                környékbel
környéke                      környe
környék                       környe
környéken                     környe
környéket                     környe
környékrõl                    környe
környékén                     környe
környékén                     környe
környékének                   környe
környékére                    környe
környékét                     környe
környékezte                   környékezt
környékezõ                    környékezõ
környéki                      környe
körszakállas                  körszakállas
körte                         kört
körutamra                     körut
körvonala                     körvonal
körvonalai                    körvonal
körvonalaiban                 körvonal
körvonalait                   körvonal
körvonalak                    körvonal
körvonalazható                körvonalazható
körvonalazott                 körvonalazot
körvonalazódik                körvonalazód
körvonalazódna                körvonalazódn
körvonalazódnak               körvonalazó
körvonalazódni                körvonalazódn
körvonalazódott               körvonalazódot
körzet                        körz
körzetbe                      körzet
körzetben                     körzet
körzeteiben                   körzet
körzetek                      körzet
körzetekben                   körzet
körzetekre                    körzet
körzetet                      körzet
körzethez                     körzet
körzetnek                     körzet
körzeti                       körzet
körzetszámokat                körzetszám
körzetszámokkal               körzetszám
körzetszámot                  körzetsza
körzettervi                   körzetterv
körzetében                    körzet
körzetét                      körzet
köré                          kör
köréje                        köré
körénk                        köre
körét                         kör
körítés                       körítés
köröm                         körö
körömben                      körö
körömfájás                    körömfájás
körömszakadtáig               körömszakadt
körömvirág                    körömvirág
körös                         körös
körösi                        körös
köröskörül                    köröskör
köröttem                      körött
körözhetnék                   körözhetne
körözi                        köröz
körözte                       körözt
körözvénye                    körözvény
körözési                      körözés
körözést                      körözés
körözés                       körözés
körözésérõl                   körözés
körözött                      körözöt
körúti                        körút
körútnak                      körút
körút                         körú
körútra                       körút
körû                          körû
körûen                        körû
körül                         kör
körülbelül                    körülbel
körülbelüli                   körülbelül
körülbástyázott               körülbástyázot
körülfog                      körülfog
körülfogta                    körülfogt
körülfogták                   körülfogta
körülfogó                     körülfogó
körülhatárolható              körülhatárolható
körülhatárolt                 körülhatárol
körüli                        körül
körülire                      körül
körüljártuk                   körüljárt
körülkémlel                   körülkémlel
körülmegy                     körülmegy
körülménnyel                  körülmény
körülmény                     körülmény
körülményei                   körülmény
körülményeidhez               körülmény
körülményeik                  körülmény
körülményeim                  körülmény
körülményein                  körülmény
körülményeinek                körülmény
körülményeinkrõl              körülmény
körülményeire                 körülmény
körülményeirõl                körülmény
körülményeit                  körülmény
körülményeitõl                körülmény
körülmények                   körülmény
körülményekben                körülmény
körülményeken                 körülmény
körülményeket                 körülmény
körülményekhez                körülmény
körülményekkel                körülmény
körülményeknek                körülmény
körülményekre                 körülmény
körülményekrõl                körülmény
körülményektõl                körülmény
körülménynek                  körülmény
körülményre                   körülmény
körülményrõl                  körülmény
körülményt                    körülmény
körülménytõl                  körülmény
körülményes                   körülményes
körülményesen                 körülményes
körülményrendszerben          körülményrendszer
körülnéz                      körülnéz
körülnézek                    körülnéz
körülnézett                   körülnézet
körülnézni                    körülnézn
körülnéznie                   körülnézn
körülnéztem                   körülnézt
körülnéztük                   körülnézt
körülnézzünk                  körülnézz
körülnézve                    körülnézv
körülsomolyogva               körülsomolyogv
körülsétált                   körülsétál
körültekintés                 körültekintés
körültekintéssel              körültekintés
körültekintést                körültekintés
körültekintõ                  körültekintõ
körültekintõek                körültekintõ
körültekintõen                körültekintõ
körültekintünk                körültekint
körülvenni                    körülvenn
körülveszi                    körülvesz
körülvesznek                  körülvesz
körülvettek                   körülvett
körülvett                     körülvet
körülvevõ                     körülvevõ
körülvéve                     körülvév
körülzárt                     körülzár
körülzárva                    körülzárv
körülállók                    körülálló
körülírhatatlan               körülírhatatl
körülírható                   körülírható
körülírhatók                  körülírható
körülírják                    körülírja
körülírni                     körülírn
körülírása                    körülírás
körülírást                    körülírás
körülölelték                  körülölelte
körülötte                     körülött
körülöttem                    körülött
körülöttük                    körülött
körülöttünk                   körülött
körülülni                     körülüln
körüvezetlek                  körüvezetl
kösse                         köss
kössek                        köss
kössenek                      köss
kössön                        köss
kössük                        köss
kösz                          kösz
köszben                       kösz
köszt                         kösz
kösztük                       köszt
köszi                         kösz
köszvetlen                    köszvetl
köszvényekrõl                 köszvény
köszölte                      köszölt
köszönet                      köszön
köszönettel                   köszön
köszöngetõ                    köszöngetõ
köszönhet                     köszönh
köszönhetek                   köszönhet
köszönhetem                   köszönhet
köszönheti                    köszönhet
köszönhetjük                  köszönhet
köszönhetnek                  köszönhet
köszönhette                   köszönhett
köszönhettem                  köszönhett
köszönhettem                  köszönhett
köszönhették                  köszönhette
köszönhetünk                  köszönhet
köszönhetõ                    köszönhetõ
köszönhetõen                  köszönhetõ
köszönnek                     köszön
köszön                        kösz
köszönni                      köszönn
köszöntük                     köszönt
köszönöm                      köszönö
köszönt                       köszön
köszöntek                     köszönt
köszöntem                     köszönt
köszönteni                    köszönten
köszöntené                    köszönten
köszöntik                     köszönt
köszöntse                     köszönts
köszöntötte                   köszöntött
köszöntötték                  köszöntötte
köszöntöttük                  köszöntött
köszönthetnénk                köszönthetne
köszöntés                     köszöntés
köszöntött                    köszöntöt
köszönés                      köszönés
köszönésemre                  köszönés
köszönõ                       köszönõ
köszörülte                    köszörült
köt                           köt
köti                          köt
kötik                         köt
kötnek                        köt
kötni                         kötn
kötnie                        kötn
kötniük                       kötn
kötötte                       kötött
kötöttek                      kötött
kötöttek                      kötött
kötöttem                      kötött
kötötten                      kötött
kötöttünk                     kötött
kötbérfizetési                kötbérfizetés
kötbérre                      kötbér
kötbér                        kötbér
kötbérrel                     kötbér
kötbérrõl                     kötbér
kötbért                       kötb
köteg                         köteg
kötegelt                      kötegel
kötel                         kötel
kötele                        kötel
köteleket                     kötel
kötelet                       kötel
köteles                       köteles
kötelesek                     köteles
kötelesség                    kötelesség
kötelességbõl                 kötelesség
kötelessége                   kötelesség
kötelességed                  kötelesség
kötelességednek               kötelesség
kötelességei                  kötelesség
kötelességeim                 kötelesség
kötelességeit                 kötelesség
kötelességek                  kötelesség
kötelességeket                kötelesség
kötelességekre                kötelesség
kötelességeként               kötelesség
kötelességem                  kötelesség
kötelességemnek               kötelesség
kötelességre                  kötelesség
kötelességének                kötelesség
kötelességét                  kötelesség
kötelességük                  kötelesség
kötelességüknek               kötelesség
kötelességünk                 kötelesség
kötelességszegõ               kötelességszegõ
kötelességszerûen             kötelességszerû
kötelességteljesítéssel       kötelességteljesítés
kötelességtudásra             kötelességtudás
kötelességtudó                kötelességtudó
kötelességtudóan              kötelességtudó
kötelezett                    kötelezet
kötelezettek                  kötelezett
kötelezetteket                kötelezett
kötelezettje                  kötelezett
kötelezettjére                kötelezett
kötelezettnek                 kötelezett
